Name,Pclass,Sex,Age,Siblings/Spouses Aboard,Parents/Children Aboard,Fare,Survived
Mr. Owen Harris Braund,3,male,22,1,0,7.25,0
Mrs. John Bradley (Florence Briggs Thayer) Cumings,1,female,38,1,0,71.2833,1
Miss. Laina Heikkinen,3,female,26,0,0,7.925,1
Mrs. Jacques Heath (Lily May Peel) Futrelle,1,female,35,1,0,53.1,1
Mr. William Henry Allen,3,male,35,0,0,8.05,0
Mr. James Moran,3,male,27,0,0,8.4583,0
Mr. Timothy J McCarthy,1,male,54,0,0,51.8625,0
Master. Gosta Leonard Palsson,3,male,2,3,1,21.075,0
Mrs. Oscar W (Elisabeth Vilhelmina Berg) Johnson,3,female,27,0,2,11.1333,1
Mrs. Nicholas (Adele Achem) Nasser,2,female,14,1,0,30.0708,1
Miss. Marguerite Rut Sandstrom,3,female,4,1,1,16.7,1
Miss. Elizabeth Bonnell,1,female,58,0,0,26.55,1
Mr. William Henry Saundercock,3,male,20,0,0,8.05,0
Mr. Anders Johan Andersson,3,male,39,1,5,31.275,0
Miss. Hulda Amanda Adolfina Vestrom,3,female,14,0,0,7.8542,0
Mrs. (Mary D Kingcome) Hewlett,2,female,55,0,0,16,1
Master. Eugene Rice,3,male,2,4,1,29.125,0
Mr. Charles Eugene Williams,2,male,23,0,0,13,1
Mrs. Julius (Emelia Maria Vandemoortele) Vander Planke,3,female,31,1,0,18,0
Mrs. Fatima Masselmani,3,female,22,0,0,7.225,1
Mr. Joseph J Fynney,2,male,35,0,0,26,0
Mr. Lawrence Beesley,2,male,34,0,0,13,1
Miss. Anna McGowan,3,female,15,0,0,8.0292,1
Mr. William Thompson Sloper,1,male,28,0,0,35.5,1
Miss. Torborg Danira Palsson,3,female,8,3,1,21.075,0
Mrs. Carl Oscar (Selma Augusta Emilia Johansson) Asplund,3,female,38,1,5,31.3875,1
Mr. Farred Chehab Emir,3,male,26,0,0,7.225,0
Mr. Charles Alexander Fortune,1,male,19,3,2,263,0
Miss. Ellen O'Dwyer,3,female,24,0,0,7.8792,1
Mr. Lalio Todoroff,3,male,23,0,0,7.8958,0
Don. Manuel E Uruchurtu,1,male,40,0,0,27.7208,0
Mrs. William Augustus (Marie Eugenie) Spencer,1,female,48,1,0,146.5208,1
Miss. Mary Agatha Glynn,3,female,18,0,0,7.75,1
Mr. Edward H Wheadon,2,male,66,0,0,10.5,0
Mr. Edgar Joseph Meyer,1,male,28,1,0,82.1708,0
Mr. Alexander Oskar Holverson,1,male,42,1,0,52,0
Mr. Hanna Mamee,3,male,18,0,0,7.2292,1
Mr. Ernest Charles Cann,3,male,21,0,0,8.05,0
Miss. Augusta Maria Vander Planke,3,female,18,2,0,18,0
Miss. Jamila Nicola-Yarred,3,female,14,1,0,11.2417,1
Mrs. Johan (Johanna Persdotter Larsson) Ahlin,3,female,40,1,0,9.475,0
Mrs. William John Robert (Dorothy Ann Wonnacott) Turpin,2,female,27,1,0,21,0
Miss. Simonne Marie Anne Andree Laroche,2,female,3,1,2,41.5792,1
Miss. Margaret Delia Devaney,3,female,19,0,0,7.8792,1
Mr. William John Rogers,3,male,30,0,0,8.05,0
Mr. Denis Lennon,3,male,20,1,0,15.5,0
Miss. Bridget O'Driscoll,3,female,27,0,0,7.75,1
Mr. Youssef Samaan,3,male,16,2,0,21.6792,0
Mrs. Josef (Josefine Franchi) Arnold-Franchi,3,female,18,1,0,17.8,0
Master. Juha Niilo Panula,3,male,7,4,1,39.6875,0
Mr. Richard Cater Nosworthy,3,male,21,0,0,7.8,0
Mrs. Henry Sleeper (Myna Haxtun) Harper,1,female,49,1,0,76.7292,1
Mrs. Lizzie (Elizabeth Anne Wilkinson) Faunthorpe,2,female,29,1,0,26,1
Mr. Engelhart Cornelius Ostby,1,male,65,0,1,61.9792,0
Mr. Hugh Woolner,1,male,46,0,0,35.5,1
Miss. Emily Rugg,2,female,21,0,0,10.5,1
Mr. Mansouer Novel,3,male,28.5,0,0,7.2292,0
Miss. Constance Mirium West,2,female,5,1,2,27.75,1
Master. William Frederick Goodwin,3,male,11,5,2,46.9,0
Mr. Orsen Sirayanian,3,male,22,0,0,7.2292,0
Miss. Amelie Icard,1,female,38,0,0,80,1
Mr. Henry Birkhardt Harris,1,male,45,1,0,83.475,0
Master. Harald Skoog,3,male,4,3,2,27.9,0
Mr. Albert A Stewart,1,male,64,0,0,27.7208,0
Master. Gerios Moubarek,3,male,7,1,1,15.2458,1
Mrs. (Elizabeth Ramell) Nye,2,female,29,0,0,10.5,1
Mr. Ernest James Crease,3,male,19,0,0,8.1583,0
Miss. Erna Alexandra Andersson,3,female,17,4,2,7.925,1
Mr. Vincenz Kink,3,male,26,2,0,8.6625,0
Mr. Stephen Curnow Jenkin,2,male,32,0,0,10.5,0
Miss. Lillian Amy Goodwin,3,female,16,5,2,46.9,0
Mr. Ambrose Jr Hood,2,male,21,0,0,73.5,0
Mr. Apostolos Chronopoulos,3,male,26,1,0,14.4542,0
Mr. Lee Bing,3,male,32,0,0,56.4958,1
Mr. Sigurd Hansen Moen,3,male,25,0,0,7.65,0
Mr. Ivan Staneff,3,male,23,0,0,7.8958,0
Mr. Rahamin Haim Moutal,3,male,28,0,0,8.05,0
Master. Alden Gates Caldwell,2,male,0.83,0,2,29,1
Miss. Elizabeth Dowdell,3,female,30,0,0,12.475,1
Mr. Achille Waelens,3,male,22,0,0,9,0
Mr. Jan Baptist Sheerlinck,3,male,29,0,0,9.5,1
Miss. Brigdet Delia McDermott,3,female,31,0,0,7.7875,1
