Pclass,Sex,Age_Range,Survived
1,female,5,1
1,female,10,0
1,female,15,2
1,female,20,11
1,female,25,15
1,female,30,7
1,female,35,12
1,female,40,14
1,female,45,9
1,female,50,10
1,female,55,6
1,female,60,5
1,female,65,2
1,female,70,0
1,female,75,0
1,female,80,0
1,male,5,2
1,male,10,0
1,male,15,1
1,male,20,4
1,male,25,7
1,male,30,16
1,male,35,9
1,male,40,21
1,male,45,13
1,male,50,20
1,male,55,7
1,male,60,9
1,male,65,9
1,male,70,1
1,male,75,2
1,male,80,1
2,female,5,5
2,female,10,3
2,female,15,2
2,female,20,6
2,female,25,13
2,female,30,15
2,female,35,11
2,female,40,7
2,female,45,6
2,female,50,5
2,female,55,2
2,female,60,1
2,female,65,0
2,female,70,0
2,female,75,0
2,female,80,0
2,male,5,8
2,male,10,1
2,male,15,0
2,male,20,11
2,male,25,21
2,male,30,17
2,male,35,17
2,male,40,11
2,male,45,6
2,male,50,4
2,male,55,6
2,male,60,3
2,male,65,1
2,male,70,2
2,male,75,0
2,male,80,0
3,female,5,17
3,female,10,10
3,female,15,10
3,female,20,25
3,female,25,30
3,female,30,20
3,female,35,14
3,female,40,8
3,female,45,6
3,female,50,2
3,female,55,0
3,female,60,0
3,female,65,2
3,female,70,0
3,female,75,0
3,female,80,0
3,male,5,16
3,male,10,10
3,male,15,6
3,male,20,71
3,male,25,73
3,male,30,69
3,male,35,37
3,male,40,23
3,male,45,18
3,male,50,7
3,male,55,5
3,male,60,2
3,male,65,2
3,male,70,2
3,male,75,2
3,male,80,0
